[2026-04-24 00:00:54] [INFO] [API/UploadRecords] 收到同步请求, stationID=1, records=1
[2026-04-24 00:00:54] [INFO] [UploadRecords] 创建历史记录成功, historyID=5, stationID=1, records=1
[2026-04-24 00:00:55] [INFO] [UploadRecords] 完成 historyID=5, status=completed, success=1, fail=0, conflict=0
[2026-04-24 00:00:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:00:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:01:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:01:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:02:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:02:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:03:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:03:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:04:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:04:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:05:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:05:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:06:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:06:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:07:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:07:56] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:08:56] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:08:56] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:09:56] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:09:56] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:10:56] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:10:56] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:11:44] [INFO] Starting Data Registry server...
[2026-04-24 00:11:44] [INFO] Database(sqlite) initialized successfully
[2026-04-24 00:11:45] [INFO] Default role updated: 管理员
[2026-04-24 00:11:45] [INFO] Default role updated: 数据操作员
[2026-04-24 00:11:45] [INFO] Default role updated: 项目管理员
[2026-04-24 00:11:45] [INFO] Default role updated: 审计账号
[2026-04-24 00:11:45] [INFO] Default role updated: 普通查看者
[2026-04-24 00:11:45] [INFO] Security settings already exist, skipping initialization
[2026-04-24 00:11:45] [INFO] Data initialization completed
[2026-04-24 00:11:45] [INFO] [ApiKeyCache] 缓存已刷新，共 2 个活跃站点
[2026-04-24 00:11:45] [INFO] [StationKeys] 已加载 1 个站点的明文 Key
[2026-04-24 00:11:45] [INFO] [CenterProbe] 启动主动探测循环，间隔: 1m0s
[2026-04-24 00:11:45] [INFO] Server listening on :18421
[2026-04-24 00:11:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:11:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:12:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:12:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:13:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:13:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:14:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:14:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:15:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:15:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:16:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:16:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:17:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:17:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:18:46] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:18:46] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:19:46] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:19:46] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:20:46] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:20:46] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:21:46] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
